id;company_name;company_address;company_description;create_date
1;even mosh consequently;although regarding;gray desert scuff;2024-05-22T16:12:28
2;superior instead angrily;which;cluttered;2024-05-22T14:34:38
3;delightfully lack;nearest however er;that;2024-05-23T00:45:33
4;videotape whereas honoree;handmade;delightfully lazily;2024-05-23T09:05:41
5;crocus phew;yippee custom;immediately calico;2024-05-23T06:30:57
6;zowie;past;vide if among;2024-05-23T10:22:50
7;than;repeatedly;barring ouch;2024-05-22T14:11:23
8;into;beyond;atop vastly certainly;2024-05-22T19:11:28
9;euphoric;unripe yearningly huzzah;excluding finally;2024-05-22T23:16:06
10;attractive;imprisonment;monstrous phew oversimplify;2024-05-22T12:40:03
